,user_id,event_id,notification_id,read
0,2,d28cd016-95a9-4bbd-ba88-966595bcbcfe,93442099-8ef6-4109-8ba0-6927d85ea194,True
1,3,d28cd016-95a9-4bbd-ba88-966595bcbcfe,93442099-8ef6-4109-8ba0-6927d85ea194,True
2,2,7acfc010-d88c-4529-b79b-10dbed76d08b,48ccbe59-8bcd-4b07-81bb-d2e8522ea97a,True
3,2,4ef7db53-b99c-4b69-ab07-89d24124d78f,57dc88f0-5295-45c8-a15f-2bb5de73e722,True
4,1,4ef7db53-b99c-4b69-ab07-89d24124d78f,51dbefd9-2531-43ce-b3e2-852797668b4d,True
5,2,4ef7db53-b99c-4b69-ab07-89d24124d78f,95a557ea-509e-4693-9a10-75d4c260f7e9,True
6,1,4ef7db53-b99c-4b69-ab07-89d24124d78f,95a557ea-509e-4693-9a10-75d4c260f7e9,True
7,3,128fb048-57ea-45d5-99a3-37578b01139a,6235a788-918a-48a8-908a-63a567ccc739,True
8,2,128fb048-57ea-45d5-99a3-37578b01139a,6235a788-918a-48a8-908a-63a567ccc739,True
9,1,128fb048-57ea-45d5-99a3-37578b01139a,a0786215-55d0-43e2-81ad-5290c8af7909,True
10,2,128fb048-57ea-45d5-99a3-37578b01139a,27ea555d-6a7e-4799-904d-5acf7d1143b7,True
11,1,128fb048-57ea-45d5-99a3-37578b01139a,6893f353-3021-4b98-922f-453daa52b178,True
12,1,128fb048-57ea-45d5-99a3-37578b01139a,227bb491-8d1a-4e39-910c-84d689461dd4,True
13,2,128fb048-57ea-45d5-99a3-37578b01139a,227bb491-8d1a-4e39-910c-84d689461dd4,True
14,3,128fb048-57ea-45d5-99a3-37578b01139a,227bb491-8d1a-4e39-910c-84d689461dd4,True
15,3,f79abdbe-775f-4156-b199-94f35214263c,c57b1640-1649-46a7-a48a-b297a53f8d4c,True
16,1,f79abdbe-775f-4156-b199-94f35214263c,450a66f4-4e3c-4283-91bc-d1b04394b5b9,True
17,1,f79abdbe-775f-4156-b199-94f35214263c,d74494d1-ada5-4896-888d-8b88250f3e1d,True
18,1,f79abdbe-775f-4156-b199-94f35214263c,a26a70ec-cf7d-4b00-a5cb-cc4dcc35d450,True
19,3,f79abdbe-775f-4156-b199-94f35214263c,a26a70ec-cf7d-4b00-a5cb-cc4dcc35d450,True
20,1,220accd9-3f35-4c49-8776-00cddf4e2155,61f69e20-59c5-42cc-9eb8-e9203b38fca0,True
21,3,220accd9-3f35-4c49-8776-00cddf4e2155,cc1a4a24-8a70-45ef-ba35-0304231a4fbf,True
22,3,220accd9-3f35-4c49-8776-00cddf4e2155,88d36be3-a304-48db-8394-eb9e49d2d1d8,True
23,2,220accd9-3f35-4c49-8776-00cddf4e2155,61f69e20-59c5-42cc-9eb8-e9203b38fca0,True
24,2,220accd9-3f35-4c49-8776-00cddf4e2155,88d36be3-a304-48db-8394-eb9e49d2d1d8,True
25,3,220accd9-3f35-4c49-8776-00cddf4e2155,4ca0737d-34c3-424a-b17c-74e82c8e69ee,True
26,3,220accd9-3f35-4c49-8776-00cddf4e2155,089cfda1-5caf-4eaa-976d-26739a18c830,True
27,1,220accd9-3f35-4c49-8776-00cddf4e2155,089cfda1-5caf-4eaa-976d-26739a18c830,True
28,2,6834ca40-fe0f-4cdc-9c71-7a75a4549716,f4d1ef9c-101c-48e9-9492-398f6a982168,True
29,1,6834ca40-fe0f-4cdc-9c71-7a75a4549716,16bdd4e2-0174-44e3-bb2d-7f106c3bc3e7,True
30,1,6834ca40-fe0f-4cdc-9c71-7a75a4549716,4516c472-8c6e-4fc0-b92d-af4663637928,True
31,1,6834ca40-fe0f-4cdc-9c71-7a75a4549716,d2aefa82-497f-4432-8f00-89466bc0101b,True
32,2,6834ca40-fe0f-4cdc-9c71-7a75a4549716,d2aefa82-497f-4432-8f00-89466bc0101b,True
33,2,68a1da42-6278-4d8b-ab49-715862a5c926,556ba9f6-2434-48d6-8f18-a1a81d341506,True
34,1,68a1da42-6278-4d8b-ab49-715862a5c926,f67b3cc2-adaa-4314-9e06-718b207ec08a,True
35,1,68a1da42-6278-4d8b-ab49-715862a5c926,a9568488-f386-48d3-903b-4a0539c6eecf,True
36,1,68a1da42-6278-4d8b-ab49-715862a5c926,fce4d206-c628-4414-8368-11400bb24e1e,True
37,2,68a1da42-6278-4d8b-ab49-715862a5c926,fce4d206-c628-4414-8368-11400bb24e1e,True
38,2,35ae8f73-cc68-4a03-8597-334c8ae6fb4d,9695727e-2c7b-4a41-9f67-e22ffd8e5803,True
39,1,35ae8f73-cc68-4a03-8597-334c8ae6fb4d,41229994-abbe-4af0-91fd-43ce76930349,True
40,2,35ae8f73-cc68-4a03-8597-334c8ae6fb4d,41229994-abbe-4af0-91fd-43ce76930349,True
41,1,35ae8f73-cc68-4a03-8597-334c8ae6fb4d,c5a69060-1273-47f4-9864-8621f4b9ab26,True
42,2,b283889a-3e85-40a2-b072-8071834ca9dd,5106fd79-6e38-40c8-a41a-7e0bebda9f6b,True
0,2,730e5950-c3c6-4118-98b6-99a488aa2271,bc90dda7-54f2-438b-988a-495cc0d7b0d3,False
